Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 31-33 Industrias manufactureras,C,C,3.709,C,1.752,C,C,1.948,C,1.107,C,C,1.761,C,0.645,C,C,0.067,C,0.0,C,C,0.074,C,0.0,C,C,10.0,C,15.0,C,C,0.432,C,0.817
Sector 43 Comercio al por mayor,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C
Sector 46 Comercio al por menor,11.042,8.886,3.963,17.382,29.962,1.363,1.518,1.187,4.177,5.861,9.679,7.368,2.776,13.205,24.101,4.699,0.163,0.542,0.076,0.485,0.087,0.1,0.471,0.22,0.771,52.0,64.0,56.0,69.0,105.0,12.235,5.817,5.104,7.715,17.024
"Sector 48-49 Transportes, correos y almacenamiento",C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A
Sector 51 Información en medios masivos,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C
"Sector 54 Servicios profesionales, científicos y técnicos",N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A
Sector 61 Servicios educativos,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A
Sector 62 Servicios de salud y de asistencia social,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,C,0.576,0.778,2.675,5.356,C,0.424,0.567,1.511,2.974,C,0.152,0.211,1.164,2.382,C,0.0,0.023,0.0,0.007,C,0.0,0.023,0.0,0.007,C,10.0,12.0,18.0,37.0,C,0.487,0.275,2.0,7.536
Sector 81 Otros servicios excepto actividades gubernamentales,0.503,0.341,0.638,0.972,1.844,0.314,0.123,0.357,0.891,0.604,0.189,0.218,0.281,0.081,1.24,0.006,0.0,0.031,0.0,0.0,0.005,0.0,0.031,0.0,0.0,11.0,10.0,13.0,10.0,20.0,0.458,0.159,1.047,0.344,1.207
Total 042 Villagrán,13.678,11.581,10.589,26.877,43.091,4.414,4.69,4.658,10.574,11.518,9.264,6.891,5.931,16.303,31.573,4.721,0.637,0.863,0.077,0.499,0.106,0.578,0.699,0.225,0.781,94.0,110.0,109.0,123.0,200.0,18.35,24.139,8.582,13.878,29.792
checksum,11.545 + 7C,9.803 + 6C,9.088 + 5C,21.029 + 6C,38.914 + 5C,1.677 + 7C,2.065 + 6C,4.059 + 5C,6.579 + 6C,10.546 + 5C,9.868 + 7C,7.738 + 6C,5.029 + 5C,14.45 + 6C,28.368 + 5C,4.705 + 7C,0.163 + 6C,0.663 + 5C,0.076 + 6C,0.492 + 5C,0.092 + 7C,0.1 + 6C,0.599 + 5C,0.22 + 6C,0.778 + 5C,63 + 7C,84 + 6C,91 + 5C,97 + 6C,177 + 5C,12.693 + 7C,6.463 + 6C,6.858 + 5C,10.059 + 6C,26.584 + 5C
