Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A
Sector 31-33 Industrias manufactureras,C,1.079,1.338,3.66,5.072,C,0.47,0.79,1.93,2.911,C,0.609,0.548,1.73,2.161,C,0.001,0.001,0.01,0.0,C,0.0,0.001,0.016,0.0,C,16.0,18.0,23.0,13.0,C,0.281,0.629,0.844,0.474
Sector 43 Comercio al por mayor,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C
Sector 46 Comercio al por menor,0.744,2.118,1.917,3.623,6.493,0.096,0.369,0.506,0.68,0.834,0.648,1.749,1.411,2.943,5.659,0.057,0.062,0.035,-0.059,-0.144,0.0,0.002,0.0,0.034,0.0,37.0,76.0,60.0,60.0,67.0,0.486,1.772,1.577,2.286,4.51
Sector 51 Información en medios masivos,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C
Sector 52 Servicios financieros y de seguros,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A
"Sector 54 Servicios profesionales, científicos y técnicos",N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C
Sector 61 Servicios educativos,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A
Sector 62 Servicios de salud y de asistencia social,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.267,C,C,0.742,2.899,0.161,C,C,0.461,1.712,0.106,C,C,0.281,1.187,0.0,C,C,-0.001,0.0,0.0,C,C,0.0,0.0,9.0,C,C,8.0,12.0,0.144,C,C,1.207,2.722
Sector 81 Otros servicios excepto actividades gubernamentales,C,0.115,0.109,0.277,2.664,C,0.048,0.077,0.137,1.413,C,0.067,0.032,0.14,1.251,C,0.0,0.0,-0.001,0.0,C,0.0,0.0,0.0,0.0,C,6.0,11.0,10.0,12.0,C,0.078,1.215,0.347,0.459
Total 006 Bustamante,1.457,3.66,4.753,10.6,19.9,0.493,1.122,2.503,3.669,8.425,0.964,2.538,2.25,6.931,11.475,0.062,-0.036,0.049,-0.086,-0.144,0.0,0.002,0.001,0.05,0.0,60.0,106.0,112.0,124.0,112.0,0.919,2.665,4.718,5.473,8.854
checksum,1.011 + 3C,3.312 + 2C,3.364 + 7C,8.302 + 7C,17.128 + 5C,0.257 + 3C,0.887 + 2C,1.373 + 7C,3.208 + 7C,6.87 + 5C,0.754 + 3C,2.425 + 2C,1.991 + 7C,5.094 + 7C,10.258 + 5C,0.057 + 3C,0.063 + 2C,0.036 + 7C,-0.051 + 7C,-0.144 + 5C,0 + 3C,0.002 + 2C,0.001 + 7C,0.05 + 7C,0 + 5C,46 + 3C,98 + 2C,89 + 7C,101 + 7C,104 + 5C,0.63 + 3C,2.131 + 2C,3.421 + 7C,4.684 + 7C,8.165 + 5C
