Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C,C,C,N/A,N/A,C
Sector 31-33 Industrias manufactureras,48.843,63.563,70.499,156.446,182.933,32.039,39.969,42.022,86.365,51.026,16.804,23.594,28.477,70.081,131.907,1.534,1.537,-0.476,0.758,0.201,0.48,0.781,0.004,-0.233,-0.286,74.0,223.0,261.0,268.0,196.0,7.293,14.082,19.661,48.348,44.48
Sector 43 Comercio al por mayor,C,3.725,C,C,4.009,C,1.638,C,C,0.341,C,2.087,C,C,3.668,C,0.558,C,C,-0.062,C,0.152,C,C,-0.072,C,25.0,C,C,10.0,C,0.627,C,C,1.259
Sector 46 Comercio al por menor,4.081,4.602,6.333,14.254,22.167,0.663,1.378,2.784,2.82,7.281,3.418,3.224,3.549,11.434,14.886,0.524,0.165,0.358,0.927,-0.398,0.03,0.131,0.217,0.126,-0.11,109.0,102.0,97.0,113.0,171.0,1.297,1.683,7.31,10.976,22.222
"Sector 48-49 Transportes, correos y almacenamiento",N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C
Sector 52 Servicios financieros y de seguros,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C
"Sector 54 Servicios profesionales, científicos y técnicos",N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 61 Servicios educativos,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A
Sector 62 Servicios de salud y de asistencia social,N/A,N/A,C,C,0.605,N/A,N/A,C,C,0.217,N/A,N/A,C,C,0.388,N/A,N/A,C,C,0.0,N/A,N/A,C,C,0.0,N/A,N/A,C,C,5.0,N/A,N/A,C,C,0.864
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C,N/A,N/A,N/A,C,C
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1.761,7.14,8.759,7.067,117.763,1.155,4.062,4.792,3.941,64.814,0.606,3.078,3.967,3.126,52.949,0.066,0.047,0.061,0.063,0.311,0.054,0.064,0.054,0.059,0.308,41.0,92.0,69.0,59.0,189.0,11.507,13.695,12.557,9.196,41.898
Sector 81 Otros servicios excepto actividades gubernamentales,C,29.057,C,C,2.961,C,11.074,C,C,0.795,C,17.983,C,C,2.166,C,0.36,C,C,-0.051,C,0.36,C,C,-0.051,C,63.0,C,C,44.0,C,37.988,C,C,2.34
Total 011 Gómez Farías,59.346,108.988,98.579,179.81,333.367,35.298,58.352,53.059,96.737,126.021,24.048,50.636,45.52,83.073,207.346,2.818,2.667,0.081,1.748,-0.039,1.221,1.488,0.403,-0.048,-0.251,269.0,528.0,494.0,510.0,644.0,28.347,68.414,81.104,81.625,124.523
checksum,54.685 + 6C,108.087 + 6C,85.591 + 8C,177.767 + 9C,330.438 + 7C,33.857 + 6C,58.121 + 6C,49.598 + 8C,93.126 + 9C,124.474 + 7C,20.828 + 6C,49.966 + 6C,35.993 + 8C,84.641 + 9C,205.964 + 7C,2.124 + 6C,2.667 + 6C,-0.057 + 8C,1.748 + 9C,0.001 + 7C,0.564 + 6C,1.488 + 6C,0.275 + 8C,-0.048 + 9C,-0.211 + 7C,224 + 6C,505 + 6C,427 + 8C,440 + 9C,615 + 7C,20.097 + 6C,68.075 + 6C,39.528 + 8C,68.52 + 9C,113.063 + 7C
