Actividad Economica,A111A_2003,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2003,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2003,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2003,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2003,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2003,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2003,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A
Sector 21 Minería,C,C,N/A,C,N/A,C,C,N/A,C,N/A,C,C,N/A,C,N/A,C,C,N/A,C,N/A,C,C,N/A,C,N/A,C,C,N/A,C,N/A,C,C,N/A,C,N/A
"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Sector 23 Construcción,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C
Sector 31-33 Industrias manufactureras,11.181,12.145,5.131,193.084,29.093,8.328,8.747,9.841,73.685,18.788,2.853,3.398,-4.71,119.399,10.305,0.029,-0.033,0.091,2.576,-0.007,-0.003,0.001,0.088,2.594,-0.004,70.0,75.0,76.0,89.0,50.0,2.074,4.904,5.491,9.048,10.738
Sector 43 Comercio al por mayor,2.779,0.431,C,C,1.0,0.122,0.122,C,C,0.156,2.657,0.309,C,C,0.844,0.101,0.203,C,C,0.01,0.0,0.0,C,C,-0.005,6.0,8.0,C,C,8.0,0.566,0.13,C,C,0.95
Sector 46 Comercio al por menor,6.728,13.978,8.851,19.119,28.59,1.077,1.85,5.432,7.088,6.155,5.651,12.128,3.419,12.031,22.435,0.171,0.001,0.319,11.645,0.901,0.33,0.055,0.271,10.647,0.149,126.0,169.0,152.0,184.0,248.0,5.454,7.168,7.891,16.265,20.832
"Sector 48-49 Transportes, correos y almacenamiento",1.081,N/A,N/A,N/A,N/A,0.635,N/A,N/A,N/A,N/A,0.446,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,10.0,N/A,N/A,N/A,N/A,1.955,N/A,N/A,N/A,N/A
Sector 51 Información en medios masivos,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C
Sector 52 Servicios financieros y de seguros,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C
Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C
"Sector 54 Servicios profesionales, científicos y técnicos",N/A,0.827,C,C,C,N/A,0.101,C,C,C,N/A,0.726,C,C,C,N/A,0.0,C,C,C,N/A,0.0,C,C,C,N/A,13.0,C,C,C,N/A,0.02,C,C,C
"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C
Sector 61 Servicios educativos,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,C
Sector 62 Servicios de salud y de asistencia social,C,C,C,C,0.419,C,C,C,C,0.368,C,C,C,C,0.051,C,C,C,C,0.007,C,C,C,C,0.0,C,C,C,C,7.0,C,C,C,C,0.572
"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C,C,N/A,C,C,C
Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2.046,3.753,4.369,6.433,10.122,1.247,2.446,2.7,4.161,4.989,0.799,1.307,1.669,2.272,5.133,0.032,0.002,-0.196,2.362,-0.057,0.0,0.002,-0.196,2.354,-0.065,35.0,58.0,51.0,72.0,86.0,0.481,0.64,1.779,4.961,2.483
Sector 81 Otros servicios excepto actividades gubernamentales,0.859,0.832,1.894,3.775,3.684,0.552,0.567,1.209,1.848,1.712,0.307,0.265,0.685,1.927,1.972,0.047,-0.001,0.011,1.815,-0.034,0.0,0.0,0.011,1.815,-0.045,22.0,28.0,39.0,47.0,46.0,0.898,0.47,2.213,2.042,4.533
Total 004 Antiguo Morelos,29.022,33.686,23.051,243.625,77.311,14.156,20.534,20.921,99.334,34.12,14.866,13.152,2.13,144.291,43.191,0.415,0.193,0.227,18.456,0.776,0.327,0.062,0.176,17.448,-0.014,312.0,399.0,346.0,448.0,475.0,15.288,26.889,21.518,44.706,54.64
checksum,24.674 + 7C,31.966 + 6C,20.245 + 6C,222.411 + 9C,72.908 + 9C,11.961 + 7C,13.833 + 6C,19.182 + 6C,86.782 + 9C,32.168 + 9C,12.713 + 7C,18.133 + 6C,1.063 + 6C,135.629 + 9C,40.74 + 9C,0.38 + 7C,0.172 + 6C,0.225 + 6C,18.398 + 9C,0.82 + 9C,0.327 + 7C,0.058 + 6C,0.174 + 6C,17.41 + 9C,0.03 + 9C,269 + 7C,351 + 6C,318 + 6C,392 + 9C,445 + 9C,11.428 + 7C,13.332 + 6C,17.374 + 6C,32.316 + 9C,40.108 + 9C
